day | travel (h) | lunch (h) | total (h)
day 26: 3.12 (travel) + 1.00 (lunch) = 4.12 h
day 27: 3.43 (travel) + 1.00 (lunch) = 4.43 h
day 28: 3.95 (travel) + 1.00 (lunch) = 4.95 h
day 29: 4.90 (travel) + 1.00 (lunch) = 5.90 h
day 30: 4.01 (travel) + 1.00 (lunch) = 5.01 h
------------------------------------------
total absence: 146.19 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.14 (travel) + 1.00 (lunch) = 4.14 h
day 2: 4.10 (travel) + 1.00 (lunch) = 5.10 h
day 3: 4.60 (travel) + 1.00 (lunch) = 5.60 h
day 4: 3.38 (travel) + 1.00 (lunch) = 4.38 h
day 5: 3.14 (travel) + 1.00 (lunch) = 4.14 h
day 6: 4.84 (travel) + 1.00 (lunch) = 5.84 h
day 7: 3.55 (travel) + 1.00 (lunch) = 4.55 h
day 8: 3.67 (travel) + 1.00 (lunch) = 4.67 h
day 9: 4.08 (travel) + 1.00 (lunch) = 5.08 h
day 10: 3.25 (travel) + 1.00 (lunch) = 4.25 h
day 11: 3.86 (travel) + 1.00 (lunch) = 4.86 h
day 12: 3.90 (travel) + 1.00 (lunch) = 4.90 h
day 13: 4.01 (travel) + 1.00 (lunch) = 5.01 h
day 14: 4.54 (travel) + 1.00 (lunch) = 5.54 h
day 15: 3.34 (travel) + 1.00 (lunch) = 4.34 h
day 16: 3.78 (travel) + 1.00 (lunch) = 4.78 h
day 17: 4.33 (travel) + 1.00 (lunch) = 5.33 h
day 18: 4.15 (travel) + 1.00 (lunch) = 5.15 h
day 19: 3.08 (travel) + 1.00 (lunch) = 4.08 h
day 20: 4.32 (travel) + 1.00 (lunch) = 5.32 h
day 21: 4.22 (travel) + 1.00 (lunch) = 5.22 h
day 22: 4.71 (travel) + 1.00 (lunch) = 5.71 h
day 23: 3.09 (travel) + 1.00 (lunch) = 4.09 h
day 24: 4.11 (travel) + 1.00 (lunch) = 5.11 h
day 25: 4.91 (travel) + 1.00 (lunch) = 5.91 h
day 26: 4.12 (travel) + 1.00 (lunch) = 5.12 h
day 27: 3.58 (travel) + 1.00 (lunch) = 4.58 h
day 28: 4.81 (travel) + 1.00 (lunch) = 5.81 h
day 29: 4.96 (travel) + 1.00 (lunch) = 5.96 h
day 30: 4.89 (travel) + 1.00 (lunch) = 5.89 h
------------------------------------------
total absence: 150.47 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.96 (travel) + 1.00 (lunch) = 5.96 h
day 2: 3.00 (travel) + 1.00 (lunch) = 4.00 h
day 3: 3.26 (travel) + 1.00 (lunch) = 4.26 h
day 4: 3.54 (travel) + 1.00 (lunch) = 4.54 h
day 5: 3.25 (travel) + 1.00 (lunch) = 4.25 h
day 6: 4.28 (travel) + 1.00 (lunch) = 5.28 h
day 7: 4.70 (travel) + 1.00 (lunch) = 5.70 h
day 8: 4.93 (travel) + 1.00 (lunch) = 5.93 h
day 9: 4.17 (travel) + 1.00 (lunch) = 5.17 h
day 10: 3.64 (travel) + 1.00 (lunch) = 4.64 h
day 11: 4.08 (travel) + 1.00 (lunch) = 5.08 h
day 12: 4.11 (travel) + 1.00 (lunch) = 5.11 h
day 13: 4.41 (travel) + 1.00 (lunch) = 5.41 h
day 14: 3.71 (travel) + 1.00 (lunch) = 4.71 h
day 15: 4.59 (travel) + 1.00 (lunch) = 5.59 h
day 16: 4.80 (travel) + 1.00 (lunch) = 5.80 h
day 17: 3.97 (travel) + 1.00 (lunch) = 4.97 h
day 18: 4.14 (travel) + 1.00 (lunch) = 5.14 h
day 19: 4.18 (travel) + 1.00 (lunch) = 5.18 h
day 20: 3.85 (travel) + 1.00 (lunch) = 4.85 h
day 21: 3.89 (travel) + 1.00 (lunch) = 4.89 h
day 22: 4.66 (travel) + 1.00 (lunch) = 5.66 h
day 23: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 24: 3.43 (travel) + 1.00 (lunch) = 4.43 h
day 25: 4.23 (travel) + 1.00 (lunch) = 5.23 h
day 26: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 27: 4.50 (travel) + 1.00 (lunch) = 5.50 h
day 28: 4.21 (travel) + 1.00 (lunch) = 5.21 h
day 29: 4.39 (travel) + 1.00 (lunch) = 5.39 h
day 30: 3.02 (travel) + 1.00 (lunch) = 4.02 h
------------------------------------------
total absence: 151.50 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.31 (travel) + 1.00 (lunch) = 4.31 h
day 2: 4.60 (travel) + 1.00 (lunch) = 5.60 h
day 3: 4.80 (travel) + 1.00 (lunch) = 5.80 h
day 4: 3.42 (travel) + 1.00 (lunch) = 4.42 h
day 5: 4.82 (travel) + 1.00 (lunch) = 5.82 h
day 6: 3.23 (travel) + 1.00 (lunch) = 4.23 h
day 7: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 8: 3.41 (travel) + 1.00 (lunch) = 4.41 h
day 9: 4.83 (travel) + 1.00 (lunch) = 5.83 h
day 10: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 11: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 12: 3.96 (travel) + 1.00 (lunch) = 4.96 h
day 13: 3.94 (travel) + 1.00 (lunch) = 4.94 h
day 14: 4.43 (travel) + 1.00 (lunch) = 5.43 h
day 15: 3.41 (travel) + 1.00 (lunch) = 4.41 h
day 16: 3.67 (travel) + 1.00 (lunch) = 4.67 h
day 17: 3.96 (travel) + 1.00 (lunch) = 4.96 h
day 18: 3.32 (travel) + 1.00 (lunch) = 4.32 h
day 19: 3.16 (travel) + 1.00 (lunch) = 4.16 h
day 20: 3.39 (travel) + 1.00 (lunch) = 4.39 h
day 21: 4.82 (travel) + 1.00 (lunch) = 5.82 h
day 22: 4.45 (travel) + 1.00 (lunch) = 5.45 h
day 23: 4.09 (travel) + 1.00 (lunch) = 5.09 h
day 24: 4.87 (travel) + 1.00 (lunch) = 5.87 h
day 25: 4.13 (travel) + 1.00 (lunch) = 5.13 h
day 26: 4.78 (travel) + 1.00 (lunch) = 5.78 h
day 27: 3.58 (travel) + 1.00 (lunch) = 4.58 h
day 28: 4.31 (travel) + 1.00 (lunch) = 5.31 h
day 29: 4.04 (travel) + 1.00 (lunch) = 5.04 h
day 30: 3.82 (travel) + 1.00 (lunch) = 4.82 h
------------------------------------------
total absence: 149.44 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.89 (travel) + 1.00 (lunch) = 4.89 h
day 2: 3.99 (travel) + 1.00 (lunch) = 4.99 h
day 3: 3.21 (travel) + 1.00 (lunch) = 4.21 h
day 4: 3.67 (travel) + 1.00 (lunch) = 4.67 h
day 5: 4.03 (travel) + 1.00 (lunch) = 5.03 h
day 6: 3.08 (travel) + 1.00 (lunch) = 4.08 h
day 7: 4.76 (travel) + 1.00 (lunch) = 5.76 h
day 8: 3.54 (travel) + 1.00 (lunch) = 4.54 h
day 9: 3.20 (travel) + 1.00 (lunch) = 4.20 h
day 10: 3.19 (travel) + 1.00 (lunch) = 4.19 h
day 11: 3.03 (travel) + 1.00 (lunch) = 4.03 h
day 12: 4.70 (travel) + 1.00 (lunch) = 5.70 h
day 13: 3.19 (travel) + 1.00 (lunch) = 4.19 h
day 14: 3.26 (travel) + 1.00 (lunch) = 4.26 h
day 15: 4.58 (travel) + 1.00 (lunch) = 5.58 h
day 16: 3.80 (travel) + 1.00 (lunch) = 4.80 h
day 17: 4.12 (travel) + 1.00 (lunch) = 5.12 h
day 18: 3.50 (travel) + 1.00 (lunch) = 4.50 h
day 19: 4.21 (travel) + 1.00 (lunch) = 5.21 h
day 20: 4.61 (travel) + 1.00 (lunch) = 5.61 h
day 21: 3.41 (travel) + 1.00 (lunch) = 4.41 h
day 22: 3.86 (travel) + 1.00 (lunch) = 4.86 h
day 23: 4.75 (travel) + 1.00 (lunch) = 5.75 h
day 24: 3.19 (travel) + 1.00 (lunch) = 4.19 h
day 25: 3.38 (travel) + 1.00 (lunch) = 4.38 h
day 26: 3.37 (travel) + 1.00 (lunch) = 4.37 h
day 27: 4.62 (travel) + 1.00 (lunch) = 5.62 h
day 28: 4.18 (travel) + 1.00 (lunch) = 5.18 h
day 29: 3.90 (travel) + 1.00 (lunch) = 4.90 h
day 30: 3.61 (travel) + 1.00 (lunch) = 4.61 h
------------------------------------------
total absence: 143.85 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.79 (travel) + 1.00 (lunch) = 5.79 h
day 2: 3.47 (travel) + 1.00 (lunch) = 4.47 h
day 3: 4.41 (travel) + 1.00 (lunch) = 5.41 h
day 4: 4.00 (travel) + 1.00 (lunch) = 5.00 h
day 5: 3.96 (travel) + 1.00 (lunch) = 4.96 h
day 6: 4.81 (travel) + 1.00 (lunch) = 5.81 h
day 7: 4.81 (travel) + 1.00 (lunch) = 5.81 h
day 8: 3.05 (travel) + 1.00 (lunch) = 4.05 h
day 9: 4.12 (travel) + 1.00 (lunch) = 5.12 h
day 10: 3.21 (travel) + 1.00 (lunch) = 4.21 h
day 11: 3.75 (travel) + 1.00 (lunch) = 4.75 h
day 12: 3.37 (travel) + 1.00 (lunch) = 4.37 h
day 13: 3.38 (travel) + 1.00 (lunch) = 4.38 h
day 14: 3.22 (travel) + 1.00 (lunch) = 4.22 h
day 15: 4.69 (travel) + 1.00 (lunch) = 5.69 h
day 16: 4.05 (travel) + 1.00 (lunch) = 5.05 h
day 17: 4.91 (travel) + 1.00 (lunch) = 5.91 h
day 18: 4.49 (travel) + 1.00 (lunch) = 5.49 h
day 19: 3.82 (travel) + 1.00 (lunch) = 4.82 h
day 20: 4.16 (travel) + 1.00 (lunch) = 5.16 h
day 21: 3.92 (travel) + 1.00 (lunch) = 4.92 h
day 22: 3.62 (travel) + 1.00 (lunch) = 4.62 h
day 23: 4.65 (travel) + 1.00 (lunch) = 5.65 h
day 24: 4.09 (travel) + 1.00 (lunch) = 5.09 h
day 25: 3.57 (travel) + 1.00 (lunch) = 4.57 h
day 26: 4.23 (travel) + 1.00 (lunch) = 5.23 h
day 27: 4.83 (travel) + 1.00 (lunch) = 5.83 h
day 28: 4.54 (travel) + 1.00 (lunch) = 5.54 h
day 29: 3.94 (travel) + 1.00 (lunch) = 4.94 h
day 30: 4.89 (travel) + 1.00 (lunch) = 5.89 h
------------------------------------------
total absence: 152.76 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.80 (travel) + 1.00 (lunch) = 4.80 h
day 2: 4.56 (travel) + 1.00 (lunch) = 5.56 h
day 3: 4.71 (travel) + 1.00 (lunch) = 5.71 h
day 4: 3.55 (travel) + 1.00 (lunch) = 4.55 h
day 5: 3.97 (travel) + 1.00 (lunch) = 4.97 h
day 6: 3.14 (travel) + 1.00 (lunch) = 4.14 h
day 7: 3.67 (travel) + 1.00 (lunch) = 4.67 h
day 8: 4.27 (travel) + 1.00 (lunch) = 5.27 h
day 9: 3.96 (travel) + 1.00 (lunch) = 4.96 h
day 10: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 11: 3.16 (travel) + 1.00 (lunch) = 4.16 h
day 12: 3.60 (travel) + 1.00 (lunch) = 4.60 h
day 13: 4.62 (travel) + 1.00 (lunch) = 5.62 h
day 14: 3.47 (travel) + 1.00 (lunch) = 4.47 h
day 15: 4.52 (travel) + 1.00 (lunch) = 5.52 h
day 16: 4.98 (travel) + 1.00 (lunch) = 5.98 h
day 17: 3.71 (travel) + 1.00 (lunch) = 4.71 h
day 18: 4.76 (travel) + 1.00 (lunch) = 5.76 h
day 19: 3.97 (travel) + 1.00 (lunch) = 4.97 h
day 20: 3.25 (travel) + 1.00 (lunch) = 4.25 h
day 21: 3.72 (travel) + 1.00 (lunch) = 4.72 h
day 22: 4.47 (travel) + 1.00 (lunch) = 5.47 h
day 23: 4.84 (travel) + 1.00 (lunch) = 5.84 h
day 24: 3.14 (travel) + 1.00 (lunch) = 4.14 h
day 25: 3.14 (travel) + 1.00 (lunch) = 4.14 h
day 26: 3.93 (travel) + 1.00 (lunch) = 4.93 h
day 27: 4.19 (travel) + 1.00 (lunch) = 5.19 h
day 28: 4.66 (travel) + 1.00 (lunch) = 5.66 h
day 29: 4.76 (travel) + 1.00 (lunch) = 5.76 h
day 30: 4.67 (travel) + 1.00 (lunch) = 5.67 h
------------------------------------------
total absence: 151.50 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.31 (travel) + 1.00 (lunch) = 5.31 h
day 2: 3.93 (travel) + 1.00 (lunch) = 4.93 h
day 3: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 4: 4.03 (travel) + 1.00 (lunch) = 5.03 h
day 5: 3.32 (travel) + 1.00 (lunch) = 4.32 h
day 6: 3.37 (travel) + 1.00 (lunch) = 4.37 h
day 7: 3.26 (travel) + 1.00 (lunch) = 4.26 h
day 8: 4.70 (travel) + 1.00 (lunch) = 5.70 h
day 9: 3.47 (travel) + 1.00 (lunch) = 4.47 h
day 10: 4.83 (travel) + 1.00 (lunch) = 5.83 h
day 11: 3.12 (travel) + 1.00 (lunch) = 4.12 h
day 12: 3.92 (travel) + 1.00 (lunch) = 4.92 h
day 13: 3.77 (travel) + 1.00 (lunch) = 4.77 h
day 14: 3.46 (travel) + 1.00 (lunch) = 4.46 h
day 15: 4.78 (travel) + 1.00 (lunch) = 5.78 h
day 16: 3.11 (travel) + 1.00 (lunch) = 4.11 h
day 17: 4.68 (travel) + 1.00 (lunch) = 5.68 h
day 18: 3.09 (travel) + 1.00 (lunch) = 4.09 h
day 19: 3.88 (travel) + 1.00 (lunch) = 4.88 h
day 20: 3.59 (travel) + 1.00 (lunch) = 4.59 h
day 21: 3.88 (travel) + 1.00 (lunch) = 4.88 h
day 22: 3.33 (travel) + 1.00 (lunch) = 4.33 h
day 23: 3.67 (travel) + 1.00 (lunch) = 4.67 h
day 24: 4.16 (travel) + 1.00 (lunch) = 5.16 h
day 25: 3.76 (travel) + 1.00 (lunch) = 4.76 h
day 26: 4.76 (travel) + 1.00 (lunch) = 5.76 h
day 27: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 28: 4.38 (travel) + 1.00 (lunch) = 5.38 h
day 29: 3.09 (travel) + 1.00 (lunch) = 4.09 h
day 30: 4.69 (travel) + 1.00 (lunch) = 5.69 h
------------------------------------------
total absence: 145.93 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.88 (travel) + 1.00 (lunch) = 4.88 h
day 2: 4.87 (travel) + 1.00 (lunch) = 5.87 h
day 3: 3.69 (travel) + 1.00 (lunch) = 4.69 h
day 4: 3.97 (travel) + 1.00 (lunch) = 4.97 h
day 5: 3.46 (travel) + 1.00 (lunch) = 4.46 h
day 6: 4.62 (travel) + 1.00 (lunch) = 5.62 h
day 7: 3.13 (travel) + 1.00 (lunch) = 4.13 h
day 8: 3.70 (travel) + 1.00 (lunch) = 4.70 h
day 9: 4.87 (travel) + 1.00 (lunch) = 5.87 h
day 10: 4.99 (travel) + 1.00 (lunch) = 5.99 h
day 11: 3.91 (travel) + 1.00 (lunch) = 4.91 h
day 12: 3.36 (travel) + 1.00 (lunch) = 4.36 h
day 13: 3.81 (travel) + 1.00 (lunch) = 4.81 h
day 14: 3.95 (travel) + 1.00 (lunch) = 4.95 h
day 15: 4.88 (travel) + 1.00 (lunch) = 5.88 h
day 16: 3.10 (travel) + 1.00 (lunch) = 4.10 h
day 17: 4.24 (travel) + 1.00 (lunch) = 5.24 h
day 18: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 19: 3.95 (travel) + 1.00 (lunch) = 4.95 h
day 20: 4.88 (travel) + 1.00 (lunch) = 5.88 h
day 21: 4.60 (travel) + 1.00 (lunch) = 5.60 h
day 22: 3.33 (travel) + 1.00 (lunch) = 4.33 h
day 23: 3.33 (travel) + 1.00 (lunch) = 4.33 h
day 24: 3.19 (travel) + 1.00 (lunch) = 4.19 h
day 25: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 26: 3.20 (travel) + 1.00 (lunch) = 4.20 h
day 27: 4.21 (travel) + 1.00 (lunch) = 5.21 h
day 28: 3.48 (travel) + 1.00 (lunch) = 4.48 h
day 29: 4.41 (travel) + 1.00 (lunch) = 5.41 h
day 30: 3.48 (travel) + 1.00 (lunch) = 4.48 h
------------------------------------------
total absence: 148.15 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.70 (travel) + 1.00 (lunch) = 4.70 h
day 2: 3.82 (travel) + 1.00 (lunch) = 4.82 h
day 3: 3.50 (travel) + 1.00 (lunch) = 4.50 h
day 4: 3.95 (travel) + 1.00 (lunch) = 4.95 h
day 5: 3.16 (travel) + 1.00 (lunch) = 4.16 h
day 6: 4.78 (travel) + 1.00 (lunch) = 5.78 h
day 7: 3.41 (travel) + 1.00 (lunch) = 4.41 h
day 8: 4.60 (travel) + 1.00 (lunch) = 5.60 h
day 9: 3.38 (travel) + 1.00 (lunch) = 4.38 h
day 10: 4.33 (travel) + 1.00 (lunch) = 5.33 h
day 11: 4.60 (travel) + 1.00 (lunch) = 5.60 h
day 12: 4.07 (travel) + 1.00 (lunch) = 5.07 h
day 13: 4.22 (travel) + 1.00 (lunch) = 5.22 h
day 14: 3.99 (travel) + 1.00 (lunch) = 4.99 h
day 15: 3.21 (travel) + 1.00 (lunch) = 4.21 h
day 16: 3.21 (travel) + 1.00 (lunch) = 4.21 h
day 17: 3.48 (travel) + 1.00 (lunch) = 4.48 h
day 18: 4.12 (travel) + 1.00 (lunch) = 5.12 h
day 19: 4.66 (travel) + 1.00 (lunch) = 5.66 h
day 20: 3.13 (travel) + 1.00 (lunch) = 4.13 h
day 21: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 22: 4.01 (travel) + 1.00 (lunch) = 5.01 h
day 23: 3.92 (travel) + 1.00 (lunch) = 4.92 h
day 24: 3.25 (travel) + 1.00 (lunch) = 4.25 h
day 25: 4.40 (travel) + 1.00 (lunch) = 5.40 h
day 26: 4.53 (travel) + 1.00 (lunch) = 5.53 h
day 27: 4.18 (travel) + 1.00 (lunch) = 5.18 h
day 28: 3.19 (travel) + 1.00 (lunch) = 4.19 h
day 29: 3.42 (travel) + 1.00 (lunch) = 4.42 h
day 30: 3.08 (travel) + 1.00 (lunch) = 4.08 h
------------------------------------------
total absence: 145.65 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.66 (travel) + 1.00 (lunch) = 5.66 h
day 2: 3.49 (travel) + 1.00 (lunch) = 4.49 h
day 3: 4.58 (travel) + 1.00 (lunch) = 5.58 h
day 4: 4.20 (travel) + 1.00 (lunch) = 5.20 h
day 5: 4.77 (travel) + 1.00 (lunch) = 5.77 h
day 6: 4.24 (travel) + 1.00 (lunch) = 5.24 h
day 7: 4.39 (travel) + 1.00 (lunch) = 5.39 h
day 8: 4.61 (travel) + 1.00 (lunch) = 5.61 h
day 9: 4.19 (travel) + 1.00 (lunch) = 5.19 h
day 10: 4.73 (travel) + 1.00 (lunch) = 5.73 h
day 11: 3.33 (travel) + 1.00 (lunch) = 4.33 h
day 12: 3.53 (travel) + 1.00 (lunch) = 4.53 h
day 13: 3.40 (travel) + 1.00 (lunch) = 4.40 h
day 14: 3.66 (travel) + 1.00 (lunch) = 4.66 h
day 15: 3.90 (travel) + 1.00 (lunch) = 4.90 h
day 16: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 17: 3.75 (travel) + 1.00 (lunch) = 4.75 h
day 18: 4.75 (travel) + 1.00 (lunch) = 5.75 h
day 19: 3.83 (travel) + 1.00 (lunch) = 4.83 h
day 20: 3.24 (travel) + 1.00 (lunch) = 4.24 h
day 21: 3.39 (travel) + 1.00 (lunch) = 4.39 h
day 22: 3.13 (travel) + 1.00 (lunch) = 4.13 h
day 23: 4.87 (travel) + 1.00 (lunch) = 5.87 h
day 24: 4.06 (travel) + 1.00 (lunch) = 5.06 h
day 25: 3.11 (travel) + 1.00 (lunch) = 4.11 h
day 26: 3.70 (travel) + 1.00 (lunch) = 4.70 h
day 27: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 28: 3.70 (travel) + 1.00 (lunch) = 4.70 h
day 29: 4.19 (travel) + 1.00 (lunch) = 5.19 h
day 30: 3.56 (travel) + 1.00 (lunch) = 4.56 h
------------------------------------------
total absence: 148.54 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.38 (travel) + 1.00 (lunch) = 5.38 h
day 2: 4.30 (travel) + 1.00 (lunch) = 5.30 h
day 3: 4.39 (travel) + 1.00 (lunch) = 5.39 h
day 4: 3.56 (travel) + 1.00 (lunch) = 4.56 h
day 5: 3.65 (travel) + 1.00 (lunch) = 4.65 h
day 6: 3.10 (travel) + 1.00 (lunch) = 4.10 h
day 7: 4.67 (travel) + 1.00 (lunch) = 5.67 h
day 8: 3.08 (travel) + 1.00 (lunch) = 4.08 h
day 9: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 10: 3.43 (travel) + 1.00 (lunch) = 4.43 h
day 11: 4.09 (travel) + 1.00 (lunch) = 5.09 h
day 12: 3.27 (travel) + 1.00 (lunch) = 4.27 h
day 13: 3.26 (travel) + 1.00 (lunch) = 4.26 h
day 14: 4.63 (travel) + 1.00 (lunch) = 5.63 h
day 15: 4.32 (travel) + 1.00 (lunch) = 5.32 h
day 16: 3.08 (travel) + 1.00 (lunch) = 4.08 h
day 17: 3.47 (travel) + 1.00 (lunch) = 4.47 h
day 18: 4.05 (travel) + 1.00 (lunch) = 5.05 h
day 19: 4.87 (travel) + 1.00 (lunch) = 5.87 h
day 20: 3.15 (travel) + 1.00 (lunch) = 4.15 h
day 21: 3.37 (travel) + 1.00 (lunch) = 4.37 h
day 22: 3.95 (travel) + 1.00 (lunch) = 4.95 h
day 23: 4.91 (travel) + 1.00 (lunch) = 5.91 h
day 24: 3.43 (travel) + 1.00 (lunch) = 4.43 h
day 25: 3.60 (travel) + 1.00 (lunch) = 4.60 h
day 26: 4.46 (travel) + 1.00 (lunch) = 5.46 h
day 27: 4.79 (travel) + 1.00 (lunch) = 5.79 h
day 28: 3.98 (travel) + 1.00 (lunch) = 4.98 h
day 29: 4.10 (travel) + 1.00 (lunch) = 5.10 h
day 30: 3.60 (travel) + 1.00 (lunch) = 4.60 h
------------------------------------------
total absence: 146.24 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 2: 3.13 (travel) + 1.00 (lunch) = 4.13 h
day 3: 3.92 (travel) + 1.00 (lunch) = 4.92 h
day 4: 4.38 (travel) + 1.00 (lunch) = 5.38 h
day 5: 3.81 (travel) + 1.00 (lunch) = 4.81 h
day 6: 3.44 (travel) + 1.00 (lunch) = 4.44 h
day 7: 4.06 (travel) + 1.00 (lunch) = 5.06 h
day 8: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 9: 3.75 (travel) + 1.00 (lunch) = 4.75 h
day 10: 4.84 (travel) + 1.00 (lunch) = 5.84 h
day 11: 3.62 (travel) + 1.00 (lunch) = 4.62 h
day 12: 4.71 (travel) + 1.00 (lunch) = 5.71 h
day 13: 3.86 (travel) + 1.00 (lunch) = 4.86 h
day 14: 3.82 (travel) + 1.00 (lunch) = 4.82 h
day 15: 3.62 (travel) + 1.00 (lunch) = 4.62 h
day 16: 4.09 (travel) + 1.00 (lunch) = 5.09 h
day 17: 4.27 (travel) + 1.00 (lunch) = 5.27 h
day 18: 3.75 (travel) + 1.00 (lunch) = 4.75 h
day 19: 3.21 (travel) + 1.00 (lunch) = 4.21 h
day 20: 3.40 (travel) + 1.00 (lunch) = 4.40 h
day 21: 4.78 (travel) + 1.00 (lunch) = 5.78 h
day 22: 3.10 (travel) + 1.00 (lunch) = 4.10 h
day 23: 4.43 (travel) + 1.00 (lunch) = 5.43 h
day 24: 4.68 (travel) + 1.00 (lunch) = 5.68 h
day 25: 4.26 (travel) + 1.00 (lunch) = 5.26 h
day 26: 4.07 (travel) + 1.00 (lunch) = 5.07 h
